domain_id,target_id,casp_round,pdb_id,chain_id,should_use,qc_reason,reference_coverage,mapping_identity,mapping_coverage,target_length,n_models_attempted,n_models_success,best_model_by_lddt_ca,best_lddt_ca,mean_lddt_ca_across_models,best_model_by_gdt_ts,best_gdt_ts,mean_gdt_ts_across_models,best_model_by_tm_score,best_tm_score,mean_tm_score_across_models
T1272s3,T1272s3,CASP16,9C3C,b,Check,multiple equivalent chains match,0.823899,1.000000,1.000000,318,3,3,,,,,,,,,
T1272s4,T1272s4,CASP16,9C3C,d,Check,multiple equivalent chains match,0.930796,1.000000,1.000000,289,3,3,,,,,,,,,
T1272s5,T1272s5,CASP16,9C3C,g,Check,multiple equivalent chains match,0.907216,1.000000,1.000000,291,3,3,,,,,,,,,
T1272s6,T1272s6,CASP16,9C3C,A,Check,reference coverage below threshold 0.641,0.641026,1.000000,1.000000,624,3,3,,,,,,,,,
T1272s7,T1272s7,CASP16,9C3C,B,No,chain mapping below threshold identity=1.000 coverage=0.599,1.000000,1.000000,0.599174,242,3,3,,,,,,,,,
T1272s8,T1272s8,CASP16,9C3C,V,Check,reference coverage below threshold 0.356; multiple equivalent chains match,0.355746,1.000000,1.000000,818,3,2,,,,,,,,,
T1272s9,T1272s9,CASP16,9C3C,n,Check,reference coverage below threshold 0.735; multiple equivalent chains match,0.735294,1.000000,1.000000,238,3,3,,,,,,,,,
T1280,T1280,CASP16,9F5M,AAA,Check,multiple equivalent chains match,0.995745,1.000000,0.991561,237,3,3,,,,,,,,,
T1299,T1299,CASP16,9FJL,A,Yes,prefiltered A1 protein target with mapped residue range,1.000000,1.000000,1.000000,168,3,3,,,,,,,,,
T2272s2,T2272s2,CASP16,9C3C,a,Check,multiple equivalent chains match,0.972393,1.000000,0.898072,363,3,3,,,,,,,,,
T2272s3,T2272s3,CASP16,9C3C,b,Check,multiple equivalent chains match,0.823899,1.000000,1.000000,318,3,3,,,,,,,,,
T2272s4,T2272s4,CASP16,9C3C,d,Check,multiple equivalent chains match,0.930796,1.000000,1.000000,289,3,3,,,,,,,,,
T2272s5,T2272s5,CASP16,9C3C,g,Check,multiple equivalent chains match,0.907216,1.000000,1.000000,291,3,3,,,,,,,,,
T2272s6,T2272s6,CASP16,9C3C,A,Check,reference coverage below threshold 0.641,0.641026,1.000000,1.000000,624,3,3,,,,,,,,,
T2272s7,T2272s7,CASP16,9C3C,B,No,chain mapping below threshold identity=1.000 coverage=0.599,1.000000,1.000000,0.599174,242,3,3,,,,,,,,,
T2272s8,T2272s8,CASP16,9C3C,V,Check,reference coverage below threshold 0.356; multiple equivalent chains match,0.355746,1.000000,1.000000,818,3,2,,,,,,,,,
T2272s9,T2272s9,CASP16,9C3C,n,Check,reference coverage below threshold 0.735; multiple equivalent chains match,0.735294,1.000000,1.000000,238,3,3,,,,,,,,,
T2280,T2280,CASP16,9F5M,AAA,Check,multiple equivalent chains match,0.995745,1.000000,0.991561,237,3,3,,,,,,,,,
