target_id,pdb_id,chain_id,sequence,reference_pdb,notes
T1185s1,8OUY,A,,data/references/8OUY_chainA.pdb,manifest_chain=A; should_use=Check; qc_reason=reference coverage below threshold 0.200
T1185s2,8OUY,A,,data/references/8OUY_chainA.pdb,manifest_chain=B; should_use=Yes; qc_reason=prefiltered A1 protein target with mapped residue range
T1185s4,8OUY,A,,data/references/8OUY_chainA.pdb,manifest_chain=D; should_use=Yes; qc_reason=prefiltered A1 protein target with mapped residue range
T1194,8OKH,A,,data/references/8OKH_chainA.pdb,manifest_chain=A; should_use=Check; qc_reason=multiple equivalent chains match
T1212,9B0L,A,,data/references/9B0L_chainA.pdb,manifest_chain=P; should_use=Check; qc_reason=multiple equivalent chains match
T1227s1,9N8W,A,,data/references/9N8W_chainA.pdb,manifest_chain=A; should_use=Yes; qc_reason=prefiltered A1 protein target with mapped residue range
T1266,8QFB,A,,data/references/8QFB_chainA.pdb,manifest_chain=A; should_use=Check; qc_reason=multiple equivalent chains match
T1272s2,9C3C,A,,data/references/9C3C_chainA.pdb,manifest_chain=a; should_use=Check; qc_reason=multiple equivalent chains match
T1272s3,9C3C,A,,data/references/9C3C_chainA.pdb,manifest_chain=b; should_use=Check; qc_reason=multiple equivalent chains match
T1272s4,9C3C,A,,data/references/9C3C_chainA.pdb,manifest_chain=d; should_use=Check; qc_reason=multiple equivalent chains match
T1272s5,9C3C,A,,data/references/9C3C_chainA.pdb,manifest_chain=g; should_use=Check; qc_reason=multiple equivalent chains match
T1272s6,9C3C,A,,data/references/9C3C_chainA.pdb,manifest_chain=A; should_use=Check; qc_reason=reference coverage below threshold 0.641
T1272s7,9C3C,A,,data/references/9C3C_chainA.pdb,manifest_chain=B; should_use=No; qc_reason=chain mapping below threshold identity=1.000 coverage=0.599
T1272s9,9C3C,A,,data/references/9C3C_chainA.pdb,manifest_chain=n; should_use=Check; qc_reason=reference coverage below threshold 0.735; multiple equivalent chains match
T1280,9F5M,A,,data/references/9F5M_chainA.pdb,manifest_chain=AAA; should_use=Check; qc_reason=multiple equivalent chains match
T1299,9FJL,A,,data/references/9FJL_chainA.pdb,manifest_chain=A; should_use=Yes; qc_reason=prefiltered A1 protein target with mapped residue range
