domain_id,target_id,casp_round,pdb_id,chain_id,should_use,qc_reason,reference_coverage,mapping_identity,mapping_coverage,target_length,n_models_attempted,n_models_success,best_model_by_lddt_ca,best_lddt_ca,mean_lddt_ca_across_models,best_model_by_gdt_ts,best_gdt_ts,mean_gdt_ts_across_models,best_model_by_tm_score,best_tm_score,mean_tm_score_across_models
T1137s8,T1137s8,CASP15,8FEF,I,Yes,prefiltered A1 protein target with mapped residue range,0.951128,1.000000,1.000000,266,3,3,esmfold,0.3257978723404255,0.3257028875379939,chai1,0.0,0.0,,,
T1137s9,T1137s9,CASP15,8FEF,J,Yes,prefiltered A1 protein target with mapped residue range,0.910035,1.000000,1.000000,289,3,3,esmfold,0.3152280130293159,0.3126492942453854,omegafold,0.0326855123674911,0.0315076560659599,,,
T1145,T1145,CASP15,7UWW,A,Check,multiple equivalent chains match,0.995276,1.000000,1.000000,635,3,3,esmfold,0.6117131359586088,0.5618760180128389,omegafold,0.1242088607594936,0.09467299578059067,,,
T1147,T1147,CASP15,8EM5,A,Check,multiple equivalent chains match,0.893204,1.000000,1.000000,103,3,3,chai1,0.926200204290092,0.9189223697650664,chai1,0.9538043478260868,0.9375,,,
T1151s2,T1151s2,CASP15,8D5V,A,Check,reference coverage below threshold 0.724; multiple equivalent chains match,0.724138,1.000000,1.000000,116,3,3,omegafold,0.8514943960149439,0.8352013283520133,chai1,0.8630952380952381,0.8492063492063492,,,
T1155,T1155,CASP15,8PBV,A,Yes,prefiltered A1 protein target with mapped residue range,1.000000,1.000000,1.000000,116,3,3,esmfold,0.634465599307659,0.616111351507284,esmfold,0.5883620689655173,0.5545977011494253,,,
T1157s2,T1157s2,CASP15,8PKO,B,Yes,prefiltered A1 protein target with mapped residue range,0.937374,1.000000,1.000000,495,3,3,chai1,0.2340804356933389,0.23203230461294977,omegafold,0.0151515151515151,0.013468013468013434,,,
T1159,T1159,CASP15,7PZT,A,Check,multiple equivalent chains match,1.000000,1.000000,1.000000,160,3,3,esmfold,0.7798387096774193,0.6935897435897435,esmfold,0.7484375,0.5927083333333334,,,
T1183,T1183,CASP15,8IFX,B,Yes,prefiltered A1 protein target with mapped residue range,0.975000,1.000000,1.000000,200,3,3,chai1,0.4359443631039532,0.4296730112249878,omegafold,0.178030303030303,0.17718855218855215,,,
T1185s1,T1185s1,CASP15,8OUY,A,Check,reference coverage below threshold 0.200,0.200000,1.000000,1.000000,350,3,3,esmfold,0.8615642994241842,0.8490083173384516,esmfold,0.6464285714285715,0.5761904761904763,,,
T1185s2,T1185s2,CASP15,8OUY,B,Yes,prefiltered A1 protein target with mapped residue range,0.832447,1.000000,1.000000,376,3,3,omegafold,0.1106046065259117,0.10540626999360199,esmfold,0.0357142857142857,0.027380952380952367,,,
T1185s4,T1185s4,CASP15,8OUY,D,Yes,prefiltered A1 protein target with mapped residue range,0.838710,1.000000,0.996429,280,3,3,esmfold,0.1679462571976967,0.1652271273192578,chai1,0.0535714285714285,0.0535714285714285,,,
T1194,T1194,CASP15,8OKH,A,Check,multiple equivalent chains match,0.982036,1.000000,0.994048,168,3,3,esmfold,0.9402898922524372,0.8637549170514793,esmfold,0.9710365853658536,0.8770325203252032,,,
T1212,T1212,CASP16,9B0L,P,Check,multiple equivalent chains match,1.000000,1.000000,1.000000,466,3,3,chai1,0.7468637579559081,0.7222504074039909,esmfold,0.4141630901287554,0.3880543633762518,,,
T1227s1,T1227s1,CASP16,9N8W,A,Yes,prefiltered A1 protein target with mapped residue range,0.918033,1.000000,1.000000,427,3,3,chai1,0.8912942751235585,0.8437070977484898,chai1,0.8246173469387754,0.7563775510204082,,,
T1266,T1266,CASP16,8QFB,A,Check,multiple equivalent chains match,0.886905,1.000000,1.000000,336,3,3,chai1,0.7106355470876429,0.6720422790782071,esmfold,0.5511744966442953,0.5083892617449665,,,
T1272s2,T1272s2,CASP16,9C3C,a,Check,multiple equivalent chains match,0.972393,1.000000,0.898072,363,3,3,esmfold,0.2172670717592592,0.2166642554012345,omegafold,0.0339943342776203,0.02903682719546737,,,
T1272s3,T1272s3,CASP16,9C3C,b,Check,multiple equivalent chains match,0.823899,1.000000,1.000000,318,3,3,chai1,0.1759418626888506,0.17450755402562626,chai1,0.0240384615384615,0.018963675213675167,,,
T1272s4,T1272s4,CASP16,9C3C,d,Check,multiple equivalent chains match,0.930796,1.000000,1.000000,289,3,3,chai1,0.1839642705231816,0.1780448036296611,omegafold,0.0211267605633802,0.0123239436619718,,,
T1272s5,T1272s5,CASP16,9C3C,g,Check,multiple equivalent chains match,0.907216,1.000000,1.000000,291,3,3,esmfold,0.1960336027222458,0.193463774280448,esmfold,0.0163230240549828,0.0128865979381443,,,
T1272s6,T1272s6,CASP16,9C3C,A,Check,reference coverage below threshold 0.641,0.641026,1.000000,1.000000,624,3,3,esmfold,0.8487196765498652,0.8163653039832285,esmfold,0.285,0.1545833333333333,,,
T1272s7,T1272s7,CASP16,9C3C,B,No,chain mapping below threshold identity=1.000 coverage=0.599,1.000000,1.000000,0.599174,242,3,3,chai1,0.2354252946798343,0.21057661675692893,omegafold,0.0268595041322314,0.018595041322314033,,,
T1272s8,T1272s8,CASP16,9C3C,V,Check,reference coverage below threshold 0.356; multiple equivalent chains match,0.355746,1.000000,1.000000,818,3,2,chai1,0.1435539075869937,0.1350541928123217,chai1,0.0163727959697733,0.011964735516372749,,,
T1272s9,T1272s9,CASP16,9C3C,n,Check,reference coverage below threshold 0.735; multiple equivalent chains match,0.735294,1.000000,1.000000,238,3,3,chai1,0.2071183533447684,0.19210977701543733,esmfold,0.0021097046413502,0.0010548523206751,,,
T1280,T1280,CASP16,9F5M,AAA,Check,multiple equivalent chains match,0.995745,1.000000,0.991561,237,3,3,chai1,0.9584893374572684,0.9547995007868034,chai1,0.9604700854700856,0.9579772079772081,,,
T1299,T1299,CASP16,9FJL,A,Yes,prefiltered A1 protein target with mapped residue range,1.000000,1.000000,1.000000,168,3,3,chai1,0.9487317862924988,0.9456736823169635,omegafold,0.9598214285714286,0.9518849206349206,,,
T2272s2,T2272s2,CASP16,9C3C,a,Check,multiple equivalent chains match,0.972393,1.000000,0.898072,363,3,3,esmfold,0.2172670717592592,0.21479552469135796,omegafold,0.0339943342776203,0.0276203966005665,,,
T2272s3,T2272s3,CASP16,9C3C,b,Check,multiple equivalent chains match,0.823899,1.000000,1.000000,318,3,3,chai1,0.1945400650219927,0.1807069548033403,esmfold,0.0240384615384615,0.011485042735042701,,,
T2272s4,T2272s4,CASP16,9C3C,d,Check,multiple equivalent chains match,0.930796,1.000000,1.000000,289,3,3,chai1,0.1811994895789026,0.17712320998156808,omegafold,0.0211267605633802,0.015551643192488201,,,
T2272s5,T2272s5,CASP16,9C3C,g,Check,multiple equivalent chains match,0.907216,1.000000,1.000000,291,3,3,esmfold,0.1960336027222458,0.19369417269247124,esmfold,0.0163230240549828,0.013172966781214166,,,
T2272s6,T2272s6,CASP16,9C3C,A,Check,reference coverage below threshold 0.641,0.641026,1.000000,1.000000,624,3,3,esmfold,0.8487196765498652,0.8089997005091346,esmfold,0.285,0.11291666666666667,,,
T2272s7,T2272s7,CASP16,9C3C,B,No,chain mapping below threshold identity=1.000 coverage=0.599,1.000000,1.000000,0.599174,242,3,3,chai1,0.2396463841987894,0.21198364659658062,omegafold,0.0268595041322314,0.0199724517906336,,,
T2272s8,T2272s8,CASP16,9C3C,V,Check,reference coverage below threshold 0.356; multiple equivalent chains match,0.355746,1.000000,1.000000,818,3,2,chai1,0.141814033086138,0.13418425556189384,esmfold,0.0075566750629722,0.00724181360201505,,,
T2272s9,T2272s9,CASP16,9C3C,n,Check,reference coverage below threshold 0.735; multiple equivalent chains match,0.735294,1.000000,1.000000,238,3,3,chai1,0.2026157804459691,0.19060891938250424,esmfold,0.0021097046413502,0.0007032348804500667,,,
T2280,T2280,CASP16,9F5M,AAA,Check,multiple equivalent chains match,0.995745,1.000000,0.991561,237,3,3,chai1,0.9586114276412177,0.9548401975147865,chai1,0.9626068376068376,0.9586894586894589,,,
