model,domain_id,target_id,casp_round,pdb_id,chain_id,should_use,target_qc_status,qc_reason,reference_coverage,mapping_identity,mapping_coverage,resolved_ca_count,expected_mapped_residue_count,chain_assignment_confidence,target_length,residue_start,residue_end,sequence_start,sequence_end,success,score_success,gdt_ts,lddt_ca,tm_score,rmsd_ca,gdc_sc,global_lddt,molprobity,runtime_sec,carbon_emissions_g,energy_consumed_kwh,input_fasta,output_structure,log_file,error_message,score_error
chai1,T1133,T1133,CASP15,8DYS,A,Check,Check,reference coverage below threshold 0.699,0.699145,1.000000,1.000000,409,585,high,585,4,427,1,585,true,,0.9156479217603912,0.915641355247452,,,,,,3583,50.41598997842563,0.10613892627036975,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1133.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1133/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1133_chai1.log,,missing score
chai1,T1134s1,T1134s1,CASP15,7UBZ,A,Check,Check,multiple equivalent chains match,1.000000,1.000000,1.000000,230,230,high,230,1,230,1,230,true,,0.9163043478260868,0.9209575030858757,,,,,,477,6.745679102360857,0.01420142968918075,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1134s1.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1134s1/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1134s1_chai1.log,,missing score
chai1,T1134s2,T1134s2,CASP15,7UBZ,D,Check,Check,reference coverage below threshold 0.645; multiple equivalent chains match,0.645367,1.000000,1.000000,202,313,high,313,168,472,1,313,true,,0.0416666666666666,0.2051144492131616,,,,,,1035,14.603117971362115,0.03074340625549919,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1134s2.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1134s2/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1134s2_chai1.log,,missing score
chai1,T1137s1,T1137s1,CASP15,8FEF,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.958435,1.000000,1.000000,392,409,high,409,18,409,1,409,true,,0.0,0.7950710900473934,,,,,,1700,24.070443927257628,0.050674618794226585,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1137s1.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1137s1/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1137s1_chai1.log,,missing score
chai1,T1137s2,T1137s2,CASP15,8FEF,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.976676,1.000000,1.000000,335,343,high,343,2,343,1,343,true,,0.0,0.4989748846745259,,,,,,1002,14.138408105340504,0.029765069695453693,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1137s2.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1137s2/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1137s2_chai1.log,,missing score
chai1,T1137s3,T1137s3,CASP15,8FEF,C,Check,Check,reference coverage below threshold 0.592,0.591603,1.000000,1.000000,310,524,high,524,1,310,1,524,true,,0.0,0.2938862559241706,,,,,,3577,50.28929911434591,0.10587220866178086,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1137s3.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1137s3/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1137s3_chai1.log,,missing score
chai1,T1137s4,T1137s4,CASP15,8FEF,D,Check,Check,reference coverage below threshold 0.704,0.703839,1.000000,1.000000,385,547,high,547,42,468,1,547,true,,0.0,0.3133870349060222,,,,,,3591,50.270254833831146,0.10583211543964452,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1137s4.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1137s4/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1137s4_chai1.log,,missing score
chai1,T1137s5,T1137s5,CASP15,8FEF,E,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.917949,1.000000,1.000000,358,390,high,390,33,390,1,390,true,,0.0,0.4390095280301351,,,,,,1718,23.95347131812855,0.050428360669744314,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1137s5.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1137s5/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1137s5_chai1.log,,missing score
chai1,T1137s6,T1137s6,CASP15,8FEF,F,Check,Check,reference coverage below threshold 0.770,0.770270,1.000000,1.000000,399,518,high,518,1,399,1,518,true,,0.0,0.3482647296206618,,,,,,3695,51.86154395327638,0.10918219779637132,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1137s6.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1137s6/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1137s6_chai1.log,,missing score
chai1,T1137s7,T1137s7,CASP15,8FEF,G,Check,Check,reference coverage below threshold 0.458; multiple equivalent chains match,0.457887,1.000000,1.000000,299,653,high,653,2,325,1,653,true,,0.0070153061224489,0.2090047393364928,,,,,,3584,50.325973424942646,0.10594941773672135,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1137s7.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1137s7/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1137s7_chai1.log,,missing score
chai1,T1137s8,T1137s8,CASP15,8FEF,I,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.951128,1.000000,1.000000,253,266,high,266,14,266,1,266,true,,0.0,0.3255129179331307,,,,,,1008,14.157933020006519,0.02980617477896109,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1137s8.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1137s8/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1137s8_chai1.log,,missing score
chai1,T1137s9,T1137s9,CASP15,8FEF,J,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.910035,1.000000,1.000000,263,289,high,289,27,289,1,289,true,,0.0309187279151943,0.3113192182410423,,,,,,916,13.095392295569507,0.027569246938041067,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1137s9.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1137s9/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1137s9_chai1.log,,missing score
chai1,T1145,T1145,CASP15,7UWW,A,Check,Check,multiple equivalent chains match,0.995276,1.000000,1.000000,632,635,high,635,34,665,1,635,true,,0.0419303797468354,0.6050158091405576,,,,,,3596,50.90934508314729,0.10717756859609955,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1145.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1145/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1145_chai1.log,,missing score
chai1,T1147,T1147,CASP15,8EM5,A,Check,Check,multiple equivalent chains match,0.893204,1.000000,1.000000,92,103,high,103,12,103,1,103,true,,0.9538043478260868,0.926200204290092,,,,,,458,6.499408833251429,0.01368296596473985,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1147.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1147/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1147_chai1.log,,missing score
chai1,T1151s2,T1151s2,CASP15,8D5V,A,Check,Check,reference coverage below threshold 0.724; multiple equivalent chains match,0.724138,1.000000,1.000000,84,116,high,116,8,91,1,116,true,,0.8630952380952381,0.8276774595267746,,,,,,460,6.5472374179196455,0.013783657721936095,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1151s2.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1151s2/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1151s2_chai1.log,,missing score
chai1,T1155,T1155,CASP15,8PBV,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,1.000000,1.000000,1.000000,116,116,high,116,1,116,1,116,true,,0.5086206896551724,0.6063392470791865,,,,,,451,6.465127448463135,0.013610794628343442,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1155.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1155/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1155_chai1.log,,missing score
chai1,T1157s2,T1157s2,CASP15,8PKO,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.937374,1.000000,1.000000,464,495,high,495,21,484,1,495,true,,0.0111111111111111,0.2340804356933389,,,,,,1759,24.95451644215714,0.052535824088751876,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1157s2.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1157s2/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1157s2_chai1.log,,missing score
chai1,T1159,T1159,CASP15,7PZT,A,Check,Check,multiple equivalent chains match,1.000000,1.000000,1.000000,160,160,high,160,1,160,1,160,true,,0.503125,0.6560173697270472,,,,,,459,6.52041219255714,0.01372718356327819,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1159.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1159/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1159_chai1.log,,missing score
chai1,T1183,T1183,CASP15,8IFX,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.975000,1.000000,1.000000,195,200,high,200,1,195,1,200,true,,0.1767676767676767,0.4359443631039532,,,,,,457,6.477080919315136,0.013635959830137129,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1183.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1183/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1183_chai1.log,,missing score
chai1,T1185s1,T1185s1,CASP15,8OUY,A,Check,Check,reference coverage below threshold 0.200,0.200000,1.000000,1.000000,70,350,high,350,4,73,1,350,true,,0.4392857142857143,0.843809980806142,,,,,,1037,14.566427911942416,0.03066616402514193,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1185s1.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1185s1/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1185s1_chai1.log,,missing score
chai1,T1185s2,T1185s2,CASP15,8OUY,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.832447,1.000000,1.000000,313,376,high,376,10,349,1,376,true,,0.0107142857142857,0.1029270633397312,,,,,,935,13.171864790875636,0.027730241665001338,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1185s2.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1185s2/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1185s2_chai1.log,,missing score
chai1,T1185s4,T1185s4,CASP15,8OUY,D,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.838710,1.000000,0.996429,234,279,high,280,20,280,1,280,true,,0.0535714285714285,0.161468330134357,,,,,,1007,14.073696968388942,0.029628835722924088,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1185s4.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1185s4/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1185s4_chai1.log,,missing score
chai1,T1194,T1194,CASP15,8OKH,A,Check,Check,multiple equivalent chains match,0.982036,1.000000,0.994048,164,167,high,168,22,185,1,168,true,,0.8185975609756098,0.8385069266290406,,,,,,458,6.4246360850710476,0.013525549652781153,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1194.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1194/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1194_chai1.log,,missing score
chai1,T0272s2,T0272s2,CASP16,9C3C,a,Check,Check,multiple equivalent chains match,0.972393,1.000000,0.898072,317,326,medium,363,25,350,1,363,true,,0.0269121813031161,0.218677662037037,,,,,,1008,13.875479896114612,0.029211536623399183,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T0272s2.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T0272s2/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T0272s2_chai1.log,,missing score
chai1,T0272s3,T0272s3,CASP16,9C3C,b,Check,Check,multiple equivalent chains match,0.823899,1.000000,1.000000,262,318,high,318,57,318,1,318,true,,0.0272435897435897,0.1811053738764582,,,,,,1031,14.23821257431905,0.029975184366987474,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T0272s3.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T0272s3/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T0272s3_chai1.log,,missing score
chai1,T0272s4,T0272s4,CASP16,9C3C,d,Check,Check,multiple equivalent chains match,0.930796,1.000000,1.000000,269,289,high,289,21,289,1,289,true,,0.0088028169014084,0.1765206295193534,,,,,,1023,14.095571266381755,0.02967488687659317,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T0272s4.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T0272s4/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T0272s4_chai1.log,,missing score
chai1,T0272s5,T0272s5,CASP16,9C3C,g,Check,Check,multiple equivalent chains match,0.907216,1.000000,1.000000,264,291,high,291,28,291,1,291,true,,0.0120274914089347,0.188908974904296,,,,,,911,12.64672268080455,0.026624679328009576,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T0272s5.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T0272s5/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T0272s5_chai1.log,,missing score
chai1,T0272s6,T0272s6,CASP16,9C3C,A,Check,Check,reference coverage below threshold 0.641,0.641026,1.000000,1.000000,400,624,high,624,63,653,1,624,true,,0.141875,0.804076819407008,,,,,,3593,49.237679643689496,0.10365827293408315,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T0272s6.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T0272s6/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T0272s6_chai1.log,,missing score
chai1,T0272s7,T0272s7,CASP16,9C3C,B,No,No,chain mapping below threshold identity=1.000 coverage=0.599,1.000000,1.000000,0.599174,145,145,low,242,654,798,1,242,true,,0.0020661157024793,0.2269034724434533,,,,,,477,6.654604052550932,0.014009692742212488,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T0272s7.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T0272s7/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T0272s7_chai1.log,,missing score
chai1,T0272s8,T0272s8,CASP16,9C3C,V,Check,Check,reference coverage below threshold 0.356; multiple equivalent chains match,0.355746,1.000000,1.000000,291,818,high,818,1,291,1,818,true,,0.0144836272040302,0.1410154021677125,,,,,,6192,86.03506902372105,0.18112646110257064,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T0272s8.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T0272s8/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T0272s8_chai1.log,,missing score
chai1,T0272s9,T0272s9,CASP16,9C3C,n,Check,Check,reference coverage below threshold 0.735; multiple equivalent chains match,0.735294,1.000000,1.000000,175,238,high,238,42,216,1,238,true,,0.0,0.2005431675242996,,,,,,466,6.532728015452919,0.013753111611479829,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T0272s9.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T0272s9/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T0272s9_chai1.log,,missing score
chai1,T1212,T1212,CASP16,9B0L,P,Check,Check,multiple equivalent chains match,1.000000,1.000000,1.000000,466,466,high,466,53,518,1,466,true,,0.4120171673819742,0.7468637579559081,,,,,,1737,23.81537846969546,0.05013763888356939,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1212.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1212/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1212_chai1.log,,missing score
chai1,T1227s1,T1227s1,CASP16,9N8W,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.918033,1.000000,1.000000,392,427,high,427,27,418,1,427,true,,0.8246173469387754,0.8912942751235585,,,,,,1784,24.371191800685114,0.05130777221196866,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1227s1.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1227s1/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1227s1_chai1.log,,missing score
chai1,T1266,T1266,CASP16,8QFB,A,Check,Check,multiple equivalent chains match,0.886905,1.000000,1.000000,298,336,high,336,563,860,1,336,true,,0.5369127516778524,0.7106355470876429,,,,,,924,12.819684840207357,0.026988810189910225,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1266.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1266/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1266_chai1.log,,missing score
chai1,T1272s2,T1272s2,CASP16,9C3C,a,Check,Check,multiple equivalent chains match,0.972393,1.000000,0.898072,317,326,medium,363,25,350,1,363,true,,0.0254957507082153,0.2162905092592592,,,,,,1015,14.032404845157268,0.029541904937173197,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1272s2.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1272s2/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1272s2_chai1.log,,missing score
chai1,T1272s3,T1272s3,CASP16,9C3C,b,Check,Check,multiple equivalent chains match,0.823899,1.000000,1.000000,262,318,high,318,57,318,1,318,true,,0.0240384615384615,0.1759418626888506,,,,,,921,12.81577278325814,0.026980574280543453,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1272s3.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1272s3/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1272s3_chai1.log,,missing score
chai1,T1272s4,T1272s4,CASP16,9C3C,d,Check,Check,multiple equivalent chains match,0.930796,1.000000,1.000000,269,289,high,289,21,289,1,289,true,,0.0,0.1839642705231816,,,,,,939,13.031864700602664,0.027435504632847715,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/sequences/T1272s4.fasta,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/predictions/T1272s4/chai1/rank_001.pdb,results/20260601_104732_casp15_casp16_unique_lt1000_all_default_msa-free/logs/T1272s4_chai1.log,,missing score
