domain_id,target_id,casp_round,pdb_id,chain_id,should_use,qc_reason,reference_coverage,mapping_identity,mapping_coverage,target_length,n_models_attempted,n_models_success,best_model_by_lddt_ca,best_lddt_ca,mean_lddt_ca_across_models,best_model_by_gdt_ts,best_gdt_ts,mean_gdt_ts_across_models,best_model_by_tm_score,best_tm_score,mean_tm_score_across_models
T1134s2,T1134s2,CASP15,7UBZ,D,Check,reference coverage below threshold 0.645; multiple equivalent chains match,0.645367,1.0,1.0,313,1,1,colabfold,0.2609328160818198,0.2609328160818198,colabfold,0.0402173913043478,0.0402173913043478,,,
T1137s1,T1137s1,CASP15,8FEF,A,Yes,prefiltered A1 protein target with mapped residue range,0.958435,1.0,1.0,409,1,1,colabfold,0.3938388625592417,0.3938388625592417,colabfold,0.0,0.0,,,
T1137s2,T1137s2,CASP15,8FEF,B,Yes,prefiltered A1 protein target with mapped residue range,0.976676,1.0,1.0,343,1,1,colabfold,0.5964558097801704,0.5964558097801704,colabfold,0.0,0.0,,,
T1137s3,T1137s3,CASP15,8FEF,C,Check,reference coverage below threshold 0.592,0.591603,1.0,1.0,524,1,1,colabfold,0.47739336492891,0.47739336492891,colabfold,0.0,0.0,,,
T1137s4,T1137s4,CASP15,8FEF,D,Check,reference coverage below threshold 0.704,0.703839,1.0,1.0,547,1,1,colabfold,0.3918957345971564,0.3918957345971564,colabfold,0.0,0.0,,,
T1137s5,T1137s5,CASP15,8FEF,E,Yes,prefiltered A1 protein target with mapped residue range,0.917949,1.0,1.0,390,1,1,colabfold,0.4211409395973154,0.4211409395973154,colabfold,0.0057692307692307,0.0057692307692307,,,
T1137s6,T1137s6,CASP15,8FEF,F,Check,reference coverage below threshold 0.770,0.77027,1.0,1.0,518,1,1,colabfold,0.4691469194312796,0.4691469194312796,colabfold,0.0012755102040816,0.0012755102040816,,,
T1137s7,T1137s7,CASP15,8FEF,G,Check,reference coverage below threshold 0.458; multiple equivalent chains match,0.457887,1.0,1.0,653,1,1,colabfold,0.3095260663507109,0.3095260663507109,colabfold,0.010204081632653,0.010204081632653,,,
T1137s8,T1137s8,CASP15,8FEF,I,Yes,prefiltered A1 protein target with mapped residue range,0.951128,1.0,1.0,266,1,1,colabfold,0.3862045760430686,0.3862045760430686,colabfold,0.0291353383458646,0.0291353383458646,,,
T1137s9,T1137s9,CASP15,8FEF,J,Yes,prefiltered A1 protein target with mapped residue range,0.910035,1.0,1.0,289,1,1,colabfold,0.423651929465883,0.423651929465883,colabfold,0.0025951557093425,0.0025951557093425,,,
T1145,T1145,CASP15,7UWW,A,Check,multiple equivalent chains match,0.995276,1.0,1.0,635,1,1,colabfold,0.2831273354412187,0.2831273354412187,colabfold,0.0941455696202531,0.0941455696202531,,,
T1147,T1147,CASP15,8EM5,A,Check,multiple equivalent chains match,0.893204,1.0,1.0,103,1,1,colabfold,0.302093973442288,0.302093973442288,colabfold,0.125,0.125,,,
T1151s2,T1151s2,CASP15,8D5V,A,Check,reference coverage below threshold 0.724; multiple equivalent chains match,0.724138,1.0,1.0,116,1,1,colabfold,0.2946762141967621,0.2946762141967621,colabfold,0.1101190476190476,0.1101190476190476,,,
T1155,T1155,CASP15,8PBV,A,Yes,prefiltered A1 protein target with mapped residue range,1.0,1.0,1.0,116,1,1,colabfold,0.5967113803548247,0.5967113803548247,colabfold,0.5452586206896552,0.5452586206896552,,,
T1157s2,T1157s2,CASP15,8PKO,B,Yes,prefiltered A1 protein target with mapped residue range,0.937374,1.0,1.0,495,1,1,colabfold,0.2065431224425558,0.2065431224425558,colabfold,0.0252525252525252,0.0252525252525252,,,
T1159,T1159,CASP15,7PZT,A,Check,multiple equivalent chains match,1.0,1.0,1.0,160,1,1,colabfold,0.9600496277915632,0.9600496277915632,colabfold,0.9671875,0.9671875,,,
T1183,T1183,CASP15,8IFX,B,Yes,prefiltered A1 protein target with mapped residue range,0.975,1.0,1.0,200,1,1,colabfold,0.286036036036036,0.286036036036036,colabfold,0.03375,0.03375,,,
T1185s1,T1185s1,CASP15,8OUY,A,Check,reference coverage below threshold 0.200,0.2,1.0,1.0,350,1,1,colabfold,0.447936660268714,0.447936660268714,colabfold,0.2535714285714285,0.2535714285714285,,,
T1185s2,T1185s2,CASP15,8OUY,B,Yes,prefiltered A1 protein target with mapped residue range,0.832447,1.0,1.0,376,1,1,colabfold,0.3766794625719769,0.3766794625719769,colabfold,0.0071428571428571,0.0071428571428571,,,
T1185s4,T1185s4,CASP15,8OUY,D,Yes,prefiltered A1 protein target with mapped residue range,0.83871,1.0,0.996429,280,1,1,colabfold,0.286468330134357,0.286468330134357,colabfold,0.0392857142857142,0.0392857142857142,,,
T1194,T1194,CASP15,8OKH,A,Check,multiple equivalent chains match,0.982036,1.0,0.994048,168,1,1,colabfold,0.3103954081632653,0.3103954081632653,colabfold,0.1024096385542168,0.1024096385542168,,,
T1212,T1212,CASP16,9B0L,P,Check,multiple equivalent chains match,1.0,1.0,1.0,466,1,1,,,,,,,,,
T1227s1,T1227s1,CASP16,9N8W,A,Yes,prefiltered A1 protein target with mapped residue range,0.918033,1.0,1.0,427,1,1,colabfold,0.1963550247116968,0.1963550247116968,colabfold,0.0204081632653061,0.0204081632653061,,,
T1266,T1266,CASP16,8QFB,A,Check,multiple equivalent chains match,0.886905,1.0,1.0,336,1,1,colabfold,0.2613296135002722,0.2613296135002722,colabfold,0.098993288590604,0.098993288590604,,,
T1272s2,T1272s2,CASP16,9C3C,a,Check,multiple equivalent chains match,0.972393,1.0,0.898072,363,1,1,colabfold,0.1851397280966767,0.1851397280966767,colabfold,0.024793388429752,0.024793388429752,,,
T1272s3,T1272s3,CASP16,9C3C,b,Check,multiple equivalent chains match,0.823899,1.0,1.0,318,1,1,colabfold,0.1717260595395219,0.1717260595395219,colabfold,0.0117924528301886,0.0117924528301886,,,
T1272s4,T1272s4,CASP16,9C3C,d,Check,multiple equivalent chains match,0.930796,1.0,1.0,289,1,1,colabfold,0.1677103403982016,0.1677103403982016,colabfold,0.0250865051903114,0.0250865051903114,,,
T1272s5,T1272s5,CASP16,9C3C,g,Check,multiple equivalent chains match,0.907216,1.0,1.0,291,1,1,colabfold,0.1701906134871055,0.1701906134871055,colabfold,0.0163230240549828,0.0163230240549828,,,
T1272s6,T1272s6,CASP16,9C3C,A,Check,reference coverage below threshold 0.641,0.641026,1.0,1.0,624,1,1,colabfold,0.1586084905660377,0.1586084905660377,colabfold,0.02,0.02,,,
T1272s7,T1272s7,CASP16,9C3C,B,No,chain mapping below threshold identity=1.000 coverage=0.599,1.0,1.0,0.599174,242,1,1,colabfold,0.1647737277689734,0.1647737277689734,colabfold,0.0175619834710743,0.0175619834710743,,,
T1272s9,T1272s9,CASP16,9C3C,n,Check,reference coverage below threshold 0.735; multiple equivalent chains match,0.735294,1.0,1.0,238,1,1,colabfold,0.1682605557560447,0.1682605557560447,colabfold,0.0315126050420168,0.0315126050420168,,,
T1280,T1280,CASP16,9F5M,AAA,Check,multiple equivalent chains match,0.995745,1.0,0.991561,237,1,1,colabfold,0.4589776981930653,0.4589776981930653,colabfold,0.3151709401709401,0.3151709401709401,,,
T1299,T1299,CASP16,9FJL,A,Yes,prefiltered A1 protein target with mapped residue range,1.0,1.0,1.0,168,1,1,colabfold,0.9499460334592552,0.9499460334592552,colabfold,0.9538690476190476,0.9538690476190476,,,
