model,domain_id,target_id,casp_round,pdb_id,chain_id,should_use,target_qc_status,qc_reason,reference_coverage,mapping_identity,mapping_coverage,resolved_ca_count,expected_mapped_residue_count,chain_assignment_confidence,target_length,residue_start,residue_end,sequence_start,sequence_end,success,score_success,gdt_ts,lddt_ca,tm_score,rmsd_ca,gdc_sc,global_lddt,molprobity,runtime_sec,carbon_emissions_g,energy_consumed_kwh,input_fasta,output_structure,log_file,error_message,score_error
colabfold,T1134s2,T1134s2,CASP15,7UBZ,D,Check,Check,reference coverage below threshold 0.645; multiple equivalent chains match,0.645367,1.0,1.0,202,313,high,313,168,472,1,313,True,True,0.0402173913043478,0.2609328160818198,,19.950720099918424,,,,654,11.25017156761052,0.0236845717212853,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1134s2.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1134s2/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1134s2_colabfold.log,,missing score
colabfold,T1137s1,T1137s1,CASP15,8FEF,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.958435,1.0,1.0,392,409,high,409,18,409,1,409,True,True,0.0,0.3938388625592417,,73.45456702535537,,,,680,11.975273956942946,0.0252111030672483,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1137s1.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1137s1/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1137s1_colabfold.log,,missing score
colabfold,T1137s2,T1137s2,CASP15,8FEF,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.976676,1.0,1.0,335,343,high,343,2,343,1,343,True,True,0.0,0.5964558097801704,,46.07967334667326,,,,683,11.88403533825119,0.0250190217647393,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1137s2.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1137s2/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1137s2_colabfold.log,,missing score
colabfold,T1137s3,T1137s3,CASP15,8FEF,C,Check,Check,reference coverage below threshold 0.592,0.591603,1.0,1.0,310,524,high,524,1,310,1,524,True,True,0.0,0.47739336492891,,75.0769045600273,,,,691,12.395729484003184,0.0260962725979014,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1137s3.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1137s3/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1137s3_colabfold.log,,missing score
colabfold,T1137s4,T1137s4,CASP15,8FEF,D,Check,Check,reference coverage below threshold 0.704,0.703839,1.0,1.0,385,547,high,547,42,468,1,547,True,True,0.0,0.3918957345971564,,74.47231266282195,,,,726,13.131834247833089,0.0276459668375433,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1137s4.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1137s4/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1137s4_colabfold.log,,missing score
colabfold,T1137s5,T1137s5,CASP15,8FEF,E,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.917949,1.0,1.0,358,390,high,390,33,390,1,390,True,True,0.0057692307692307,0.4211409395973154,,32.11694439886448,,,,696,12.158372623935694,0.0255965739451277,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1137s5.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1137s5/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1137s5_colabfold.log,,missing score
colabfold,T1137s6,T1137s6,CASP15,8FEF,F,Check,Check,reference coverage below threshold 0.770,0.77027,1.0,1.0,399,518,high,518,1,399,1,518,True,True,0.0012755102040816,0.4691469194312796,,32.06877359996196,,,,704,12.73729167077868,0.0268153508858498,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1137s6.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1137s6/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1137s6_colabfold.log,,missing score
colabfold,T1137s7,T1137s7,CASP15,8FEF,G,Check,Check,reference coverage below threshold 0.458; multiple equivalent chains match,0.457887,1.0,1.0,299,653,high,653,2,325,1,653,True,True,0.010204081632653,0.3095260663507109,,79.56310868381736,,,,971,16.785660076758255,0.0353382317405436,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1137s7.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1137s7/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1137s7_colabfold.log,,missing score
colabfold,T1137s8,T1137s8,CASP15,8FEF,I,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.951128,1.0,1.0,253,266,high,266,14,266,1,266,True,True,0.0291353383458646,0.3862045760430686,,57.00108707656257,,,,655,11.239843830936865,0.0236628291177618,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1137s8.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1137s8/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1137s8_colabfold.log,,missing score
colabfold,T1137s9,T1137s9,CASP15,8FEF,J,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.910035,1.0,1.0,263,289,high,289,27,289,1,289,True,True,0.0025951557093425,0.423651929465883,,62.8696565629499,,,,658,11.29016576193926,0.0237687700251352,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1137s9.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1137s9/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1137s9_colabfold.log,,missing score
colabfold,T1145,T1145,CASP15,7UWW,A,Check,Check,multiple equivalent chains match,0.995276,1.0,1.0,632,635,high,635,34,665,1,635,True,True,0.0941455696202531,0.2831273354412187,,9.778288181949431,,,,735,13.377631262762751,0.0281634342373952,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1145.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1145/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1145_colabfold.log,,missing score
colabfold,T1147,T1147,CASP15,8EM5,A,Check,Check,multiple equivalent chains match,0.893204,1.0,1.0,92,103,high,103,12,103,1,103,True,True,0.125,0.302093973442288,,17.74322177526292,,,,640,10.686101907781552,0.0224970566479611,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1147.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1147/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1147_colabfold.log,,missing score
colabfold,T1151s2,T1151s2,CASP15,8D5V,A,Check,Check,reference coverage below threshold 0.724; multiple equivalent chains match,0.724138,1.0,1.0,84,116,high,116,8,91,1,116,True,True,0.1101190476190476,0.2946762141967621,,13.393733432440298,,,,617,10.346541712275558,0.0217821930784748,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1151s2.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1151s2/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1151s2_colabfold.log,,missing score
colabfold,T1155,T1155,CASP15,8PBV,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,1.0,1.0,1.0,116,116,high,116,1,116,1,116,True,True,0.5452586206896552,0.5967113803548247,,7.334891864582937,,,,601,10.04311899413495,0.0211434084087051,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1155.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1155/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1155_colabfold.log,,missing score
colabfold,T1157s2,T1157s2,CASP15,8PKO,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.937374,1.0,1.0,464,495,high,495,21,484,1,495,True,True,0.0252525252525252,0.2065431224425558,,28.779751735454425,,,,764,13.43745008445928,0.0282893685988616,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1157s2.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1157s2/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1157s2_colabfold.log,,missing score
colabfold,T1159,T1159,CASP15,7PZT,A,Check,Check,multiple equivalent chains match,1.0,1.0,1.0,160,160,high,160,1,160,1,160,True,True,0.9671875,0.9600496277915632,,0.6911432697608824,,,,615,10.307229526322814,0.0216994305817322,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1159.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1159/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1159_colabfold.log,,missing score
colabfold,T1183,T1183,CASP15,8IFX,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.975,1.0,1.0,195,200,high,200,1,195,1,200,True,True,0.03375,0.286036036036036,,20.781780910341105,,,,646,10.872450590317255,0.0228893696638258,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1183.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1183/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1183_colabfold.log,,missing score
colabfold,T1185s1,T1185s1,CASP15,8OUY,A,Check,Check,reference coverage below threshold 0.200,0.2,1.0,1.0,70,350,high,350,4,73,1,350,True,True,0.2535714285714285,0.447936660268714,,6.852094806875329,,,,691,11.889938518971494,0.0250314495136241,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1185s1.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1185s1/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1185s1_colabfold.log,,missing score
colabfold,T1185s2,T1185s2,CASP15,8OUY,B,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.832447,1.0,1.0,313,376,high,376,10,349,1,376,True,True,0.0071428571428571,0.3766794625719769,,17.073073993492226,,,,675,11.728110203716383,0.0246907583236134,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1185s2.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1185s2/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1185s2_colabfold.log,,missing score
colabfold,T1185s4,T1185s4,CASP15,8OUY,D,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.83871,1.0,0.996429,234,279,high,280,20,280,1,280,True,True,0.0392857142857142,0.286468330134357,,17.04693164748925,,,,658,11.225178479919926,0.0236319546945682,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1185s4.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1185s4/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1185s4_colabfold.log,,missing score
colabfold,T1194,T1194,CASP15,8OKH,A,Check,Check,multiple equivalent chains match,0.982036,1.0,0.994048,164,167,high,168,22,185,1,168,True,True,0.1024096385542168,0.3103954081632653,,11.986375960993051,,,,610,10.226766093117597,0.0215300338802475,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1194.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1194/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1194_colabfold.log,,missing score
colabfold,T1212,T1212,CASP16,9B0L,P,Check,Check,multiple equivalent chains match,1.0,1.0,1.0,466,466,high,466,53,518,1,466,True,False,,,,,,,,706,12.475288118384311,0.0262637644597564,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1212.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1212/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1212_colabfold.log,,Too few matched C-alpha atoms for results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1212/colabfold/rank_001.pdb
colabfold,T1227s1,T1227s1,CASP16,9N8W,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,0.918033,1.0,1.0,392,427,high,427,27,418,1,427,True,True,0.0204081632653061,0.1963550247116968,,29.378724858491367,,,,680,12.106244416751093,0.0254868303510549,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1227s1.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1227s1/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1227s1_colabfold.log,,missing score
colabfold,T1266,T1266,CASP16,8QFB,A,Check,Check,multiple equivalent chains match,0.886905,1.0,1.0,298,336,high,336,563,860,1,336,True,True,0.098993288590604,0.2613296135002722,,19.694510096324706,,,,668,11.51520574724624,0.0242425384152552,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1266.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1266/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1266_colabfold.log,,missing score
colabfold,T1272s2,T1272s2,CASP16,9C3C,a,Check,Check,multiple equivalent chains match,0.972393,1.0,0.898072,317,326,medium,363,25,350,1,363,True,True,0.024793388429752,0.1851397280966767,,26.00597265441927,,,,671,11.61146992947688,0.0244451998515302,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1272s2.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1272s2/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1272s2_colabfold.log,,missing score
colabfold,T1272s3,T1272s3,CASP16,9C3C,b,Check,Check,multiple equivalent chains match,0.823899,1.0,1.0,262,318,high,318,57,318,1,318,True,True,0.0117924528301886,0.1717260595395219,,42.18915817505215,,,,651,11.246667755902635,0.0236771952755845,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1272s3.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1272s3/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1272s3_colabfold.log,,missing score
colabfold,T1272s4,T1272s4,CASP16,9C3C,d,Check,Check,multiple equivalent chains match,0.930796,1.0,1.0,269,289,high,289,21,289,1,289,True,True,0.0250865051903114,0.1677103403982016,,44.37325534714677,,,,659,11.300398400594922,0.0237903124223051,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1272s4.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1272s4/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1272s4_colabfold.log,,missing score
colabfold,T1272s5,T1272s5,CASP16,9C3C,g,Check,Check,multiple equivalent chains match,0.907216,1.0,1.0,264,291,high,291,28,291,1,291,True,True,0.0163230240549828,0.1701906134871055,,43.61242348502277,,,,670,11.46306911442418,0.0241327770829982,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1272s5.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1272s5/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1272s5_colabfold.log,,missing score
colabfold,T1272s6,T1272s6,CASP16,9C3C,A,Check,Check,reference coverage below threshold 0.641,0.641026,1.0,1.0,400,624,high,624,63,653,1,624,True,True,0.02,0.1586084905660377,,34.45730105360797,,,,721,13.001603602964284,0.0273717970588721,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1272s6.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1272s6/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1272s6_colabfold.log,,missing score
colabfold,T1272s7,T1272s7,CASP16,9C3C,B,No,No,chain mapping below threshold identity=1.000 coverage=0.599,1.0,1.0,0.599174,145,145,low,242,654,798,1,242,True,True,0.0175619834710743,0.1647737277689734,,37.02509569383773,,,,661,11.186997633176183,0.0235515739645814,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1272s7.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1272s7/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1272s7_colabfold.log,,missing score
colabfold,T1272s9,T1272s9,CASP16,9C3C,n,Check,Check,reference coverage below threshold 0.735; multiple equivalent chains match,0.735294,1.0,1.0,175,238,high,238,42,216,1,238,True,True,0.0315126050420168,0.1682605557560447,,34.75375824044735,,,,650,11.029518347484808,0.0232200386262838,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1272s9.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1272s9/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1272s9_colabfold.log,,missing score
colabfold,T1280,T1280,CASP16,9F5M,AAA,Check,Check,multiple equivalent chains match,0.995745,1.0,0.991561,234,235,high,237,615,848,1,237,True,True,0.3151709401709401,0.4589776981930653,,5.105255049133856,,,,691,11.86622837231132,0.0249815334153922,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1280.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1280/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1280_colabfold.log,,missing score
colabfold,T1299,T1299,CASP16,9FJL,A,Yes,Yes,prefiltered A1 protein target with mapped residue range,1.0,1.0,1.0,168,168,high,168,1,168,1,168,True,True,0.9538690476190476,0.9499460334592552,,0.8880551551197559,,,,618,10.547138875791704,0.0222045028964035,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/sequences/T1299.fasta,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/predictions/T1299/colabfold/rank_001.pdb,results/20260603_142659_casp15_casp16_unique_lt1000_all_default_colabfold/logs/T1299_colabfold.log,,missing score
