PDBID,chain,description,enabled
7ROA,A,casp_round=CASP15; target_id=T1104; target_length=117; size_bin=small; stoichiometry=A1; notes=EntV136,1
7QIH,A,casp_round=CASP15; target_id=T1106s1; target_length=122; size_bin=small; stoichiometry=A1; notes=YscY-YscX subtarget s1 | duplicate_entry: casp_round=CASP15; target_id=T1106s2; target_length=114; size_bin=small; stoichiometry=A1; notes=YscY-YscX subtarget s2; verify chain/domain mapping,1
8ORK,A,casp_round=CASP15; target_id=T1112; target_length=460; size_bin=large; stoichiometry=A1; notes=O93732.1,1
7UYX,A,casp_round=CASP15; target_id=T1113; target_length=193; size_bin=medium; stoichiometry=A2; notes=gp2; homomeric/capri target,1
7UTD,A,casp_round=CASP15; target_id=T1114s1; target_length=189; size_bin=medium; stoichiometry=A1; notes=A0QUM5/A0QUM6/A0QUM7 subtarget s1 | duplicate_entry: casp_round=CASP15; target_id=T1114s2; target_length=369; size_bin=medium; stoichiometry=A1; notes=A0QUM5/A0QUM6/A0QUM7 subtarget s2 | duplicate_entry: casp_round=CASP15; target_id=T1114s3; target_length=535; size_bin=large; stoichiometry=A1; notes=A0QUM5/A0QUM6/A0QUM7 subtarget s3,1
7SQ4,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
7ZCX,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8PBV,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8PKO,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8SXA,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
7PZT,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8JVN,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8JVP,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8FJP,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
7PBR,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8ON4,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8OND,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8SMQ,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8UFN,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8TN8,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8IFX,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8OUY,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8AD2,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8C6Z,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8OKH,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8BWD,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9CP0,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9ENR,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9B0L,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9C4O,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9H1G,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9N8W,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8QPQ,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9DXD,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9FYA,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9FYG,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
8QFB,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9GVQ,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9C3C,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9F5M,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9SFA,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
9FJL,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1
