PDBID,chain,description,enabled
8C6Z,A,casp_round=CASP15; target_id=T1188; target_length=630; size_bin=large; stoichiometry=A1; notes=F8UNI4_CLOPF; ligand target,1
8OKH,A,casp_round=CASP15; target_id=T1194; target_length=168; size_bin=medium; stoichiometry=A1; notes=Bd1399,1
8QPQ,A,casp_round=CASP16; target_id=T1235; target_length=115; size_bin=small; stoichiometry=A6; notes=A0A410N6V5.2; homomeric/capri target | duplicate_entry: casp_round=CASP16; target_id=T1234; target_length=413; size_bin=large; stoichiometry=A3; notes=YP_010355913.1,1
9FJL,A,casp_round=CASP16; target_id=T1299; target_length=168; size_bin=medium; stoichiometry=A1; notes=9FJL,1
8BWD,A,casp_round=CASP16; target_id=T1201; target_length=210; size_bin=medium; stoichiometry=A2; notes=Q9GZX9; homomeric/capri target,1
9F5M,A,casp_round=CASP16; target_id=T1280; target_length=237; size_bin=medium; stoichiometry=A1; notes=C-terminal domain of bacteriophage K gp155,1
9CP0,A,casp_round=CASP16; target_id=T1206; target_length=237; size_bin=medium; stoichiometry=A2; notes=Porcine astrovirus 4 capsid spike,1
9C3C,A,casp_round=CASP16; target_id=T1272s9; target_length=238; size_bin=medium; stoichiometry=A1; notes=Dystrophin-glycoprotein complex subtarget s9 | duplicate_entry: casp_round=CASP16; target_id=T1272s7; target_length=242; size_bin=medium; stoichiometry=A1; notes=Dystrophin-glycoprotein complex subtarget s7 | duplicate_entry: casp_round=CASP16; target_id=T1272s4; target_length=289; size_bin=medium; stoichiometry=A1; notes=Dystrophin-glycoprotein complex subtarget s4 | duplicate_entry: casp_round=CASP16; target_id=T1272s5; target_length=291; size_bin=medium; stoichiometry=A1; notes=Dystrophin-glycoprotein complex subtarget s5 | duplicate_entry: casp_round=CASP16; target_id=T1272s3; target_length=318; size_bin=medium; stoichiometry=A1; notes=Dystrophin-glycoprotein complex subtarget s3 | duplicate_entry: casp_round=CASP16; target_id=T1272s2; target_length=363; size_bin=medium; stoichiometry=A1; notes=Dystrophin-glycoprotein complex subtarget s2 | duplicate_entry: casp_round=CASP16; target_id=T1272s6; target_length=624; size_bin=large; stoichiometry=A1; notes=Dystrophin-glycoprotein complex subtarget s6,1
8QFB,A,casp_round=CASP16; target_id=T1266; target_length=336; size_bin=medium; stoichiometry=A1; notes=Q99549,1
9SFA,A,casp_round=CASP16; target_id=T1298; target_length=342; size_bin=medium; stoichiometry=A2; notes=Cyclic nucleotide-binding protein,1
9N8W,A,casp_round=CASP16; target_id=T1227s1; target_length=427; size_bin=large; stoichiometry=A1; notes=LetA/LetB subtarget s1,1
9B0L,A,casp_round=CASP16; target_id=T1212; target_length=466; size_bin=large; stoichiometry=A1; notes=Fanzor2 ternary structure; protein subunit of M1212,1
9FYA,A,casp_round=CASP16; target_id=T1249v1; target_length=488; size_bin=large; stoichiometry=A3; notes=Arenaviral spike complex,1
9FYG,A,casp_round=CASP16; target_id=T1249v2; target_length=488; size_bin=large; stoichiometry=A3; notes=Arenaviral spike complex,1
9DXD,A,casp_round=CASP16; target_id=T1239v1; target_length=620; size_bin=large; stoichiometry=A1; notes=SPbeta_intRDF_DNA; protein subunit of M1239v1 | duplicate_entry: casp_round=CASP16; target_id=T1239v2; target_length=620; size_bin=large; stoichiometry=A1; notes=SPbeta_intRDF_DNA; protein subunit of M1239v2,1
9C4O,A,casp_round=CASP16; target_id=T1214; target_length=677; size_bin=large; stoichiometry=A1; notes=YncD; ligand/ensemble target,1
9GVQ,A,casp_round=CASP16; target_id=T1269; target_length=1410; size_bin=extra_large; stoichiometry=A1; notes=MUC5AC | duplicate_entry: casp_round=CASP16; target_id=T1269v1; target_length=1410; size_bin=extra_large; stoichiometry=An; notes=MUC5AC ensemble variant,1
9H1G,A,casp_round=CASP16; target_id=T1220s1; target_length=1711; size_bin=extra_large; stoichiometry=A1; notes=BoDV-1 replication complex subtarget s1,1
9ENR,A,casp_round=CASP16; target_id=T1210; target_length=1770; size_bin=extra_large; stoichiometry=A1; notes=Q868N5,1
