PDBID,chain,description,enabled,original_chain,resolved_chain,residue_count_inferred,resolution_notes
7UX8,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,378,requested_chain_is_protein
8H2N,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,703,requested_chain_is_protein
8XBP,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,198,requested_chain_is_protein
8A8C,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,695,requested_chain_is_protein
8ECX,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,97,requested_chain_is_protein
8DYS,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,409,requested_chain_is_protein
7UBZ,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,230,requested_chain_is_protein
8FEF,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,392,requested_chain_is_protein
7UWW,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,632,requested_chain_is_protein
8EM5,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,92,requested_chain_is_protein
8D5V,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,84,requested_chain_is_protein
7R1L,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,46,requested_chain_is_protein
8PBV,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,116,requested_chain_is_protein
8PKO,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,972,requested_chain_is_protein
7PZT,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,160,requested_chain_is_protein
8JVN,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,44,requested_chain_is_protein
8JVP,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,48,requested_chain_is_protein
7PBR,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,312,requested_chain_is_protein
8ON4,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,204,requested_chain_is_protein
8OND,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,344,requested_chain_is_protein
8SMQ,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,167,requested_chain_is_protein
8UFN,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,269,requested_chain_is_protein
8TN8,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,252,requested_chain_is_protein
8IFX,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,327,requested_chain_is_protein
8OUY,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,70,requested_chain_is_protein
8AD2,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,165,requested_chain_is_protein
8C6Z,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,573,requested_chain_is_protein
8OKH,A,casp_round=CASP15; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP15 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,166,requested_chain_is_protein
8BWD,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,164,requested_chain_is_protein
9CP0,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,230,requested_chain_is_protein
9B0L,P,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,P,466,resolved_from_placeholder_A
9C4O,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,661,requested_chain_is_protein
9N8W,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,392,requested_chain_is_protein
8QPQ,T,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,TC,412,resolved_from_placeholder_A; pdb_chain_id_truncated_from_TC
9DXD,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,535,requested_chain_is_protein
9FYA,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,188,requested_chain_is_protein
9FYG,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,188,requested_chain_is_protein
8QFB,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,298,requested_chain_is_protein
9C3C,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,400,requested_chain_is_protein
9F5M,B,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,BBB,234,resolved_from_placeholder_A; pdb_chain_id_truncated_from_BBB
9SFA,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,339,requested_chain_is_protein
9FJL,A,casp_round=CASP16; target_id=NA; target_length=NA; size_bin=NA; stoichiometry=A1; notes=unique PDB ID from official CASP16 domain-summary PDB column; chain=A placeholder; verify chain/domain mapping before large benchmark,1,A,A,168,requested_chain_is_protein
